Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Collision
1,A,High,-1.1939595143075281,1,0,B,Medium-High,-0.17108345415565437,1,0
0,B,Low,-0.5861805961120892,0,1,A,High,-0.23183810027601456,0,0
1,C,Medium,-0.79987040881554,0,1,A,Medium-Low,-0.05214577694475984,1,0
0,A,Medium-High,0.16526849927758475,0,1,B,Low,0.13546409911921586,0,1
1,A,Medium,-0.718193534399435,1,0,C,High,0.6202154772151856,0,0
0,A,Medium-High,-0.54868624820251,1,0,B,High,1.4947717936877176,0,1
1,A,Medium-High,1.038303938610049,0,0,C,Medium-Low,-0.13565381631774245,1,1
1,C,Medium-Low,-1.1900187275809153,1,0,C,Medium,-0.7572781873207476,0,0
1,A,Low,-0.03502044012611455,1,1,B,Medium,2.1459068516339146,1,1
0,A,Medium-Low,0.2465675844595192,1,1,A,Medium,0.5681080246421671,0,1
1,B,Medium,2.42644115516361,0,1,C,Medium-High,2.9006700238105143,1,1
0,B,Medium-Low,-0.7797583632759634,1,0,B,Medium-Low,-1.5405194919155383,1,0
1,C,Medium,0.3438318506358627,1,1,C,Low,-1.1511138473864149,0,0
1,C,Medium,1.8622442908777672,1,1,C,Medium-Low,-1.5026711613580435,0,1
1,A,Medium-Low,-1.207395903652698,0,0,B,Low,0.1500449669632761,1,0
1,C,High,-1.0040618056413286,1,0,C,Medium,-0.7273513381757262,0,0
0,B,Medium,2.710788922177118,1,1,B,Low,0.4088906574418764,1,1
1,C,Medium-Low,-0.19608073421994943,0,1,A,Medium,-1.01303378930254,0,0
1,A,High,1.5263614759203246,0,0,C,Medium,0.28154316929876827,0,1
0,B,High,0.3354127503734685,0,0,C,Medium,0.19943943490069632,0,1
1,A,High,-1.4084603985888378,1,0,A,Medium-Low,-0.6571627258135114,1,0
1,A,Medium-High,-0.7854319736041394,0,0,C,Low,-0.03507715711883453,1,0
0,B,Medium,0.21752900710562106,0,0,B,Low,-0.7117794275038103,0,0
1,B,Medium-High,0.8692874421070419,1,1,A,High,2.2860228876674666,0,1
1,B,High,1.2942364970703204,1,0,B,Medium,1.2291724528692276,1,1
0,A,Medium-Low,-1.2184461035946934,1,0,C,Medium-High,-0.35660396030594843,0,0
0,A,Medium,-0.7660645824797023,0,1,B,Medium-High,-0.08478563091600543,1,0
1,C,Medium-High,-1.6259301817374847,1,0,A,High,-0.96652586795541,0,0
1,B,Medium-Low,1.0972846515543284,0,1,B,Medium-High,0.3635042653850095,0,1
0,B,High,1.2555596639738922,1,0,C,High,-1.1155210249944028,0,1
1,A,Medium-Low,1.1372513466584162,1,0,C,Medium-High,0.20114851519106275,0,1
0,B,High,0.7974752075822112,0,1,B,Medium-Low,0.34250200256215313,1,1
0,C,Medium-Low,1.8273627970540498,0,0,A,Medium-High,0.52104084423892,1,1
1,A,Medium-Low,-0.1585780518593471,0,0,C,Low,-0.6048882220106457,1,0
1,B,Low,1.5715913694283388,0,1,A,Medium-High,0.4654197709799269,0,1
0,A,Medium-Low,1.1767168000033692,1,0,B,High,-1.0929584970600343,1,1
1,C,High,0.7372042762982681,0,0,C,Low,-0.8935414688471676,1,0
1,A,Medium-High,-0.018853162513509516,1,0,A,Medium-Low,-0.41277133846215075,0,0
0,C,Medium,0.6360541745291636,0,1,A,Medium-Low,0.4853360270287505,0,1
1,B,Medium-High,0.21188520638606703,0,1,A,Medium-Low,-0.3907261109638427,0,0
0,B,Medium-High,-0.11444976661387704,0,0,B,High,-0.10347823343144656,1,0
1,A,Medium-Low,0.7612712860673001,0,1,C,Low,-1.6259254928254259,0,0
1,C,Medium-High,0.8683212726305213,0,0,A,Low,1.400984607539452,0,1
0,C,High,-0.6212590241704521,0,0,C,Low,-0.09278739814198439,0,0
1,B,Low,-1.4561947939023938,1,0,B,Low,-0.941201790959659,0,0
1,B,Medium,2.2817186650934067,0,1,C,Low,-1.165643063268819,0,1
1,B,Medium-Low,0.852516464010702,1,1,B,High,-0.0801885536166531,0,1
0,C,Low,-0.47140138184147734,0,0,C,High,1.7094517409638226,1,1
1,B,Medium-Low,-0.05778528676895849,1,1,C,High,-0.7133302268296718,1,0
1,A,Low,1.178040752470293,0,1,B,Medium-Low,-0.4139738298422999,1,1
