Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Collision
1,A,Medium-High,0.6904714229109326,0,C,Medium-High,1,A,Low,0.32420413319453356,1,A,Medium-Low,1
1,A,Medium,-0.1367629606165207,0,A,Low,1,C,Low,0.1246254384539904,0,C,High,0
0,B,Medium,-2.125850847173188,1,C,Medium-Low,0,C,Medium-High,0.3993911244450565,0,A,Medium,0
0,A,Medium,-0.115905343585183,1,A,Medium,0,A,High,-1.1071549641833986,1,C,High,0
0,A,Medium,1.332275774258463,0,B,Medium-High,0,C,Medium-High,1.7551851010458581,0,B,Medium,1
1,B,High,1.0878975851460855,0,B,Medium,0,A,Low,1.033266923473164,1,C,Medium-High,1
1,B,High,-0.6052064566953878,1,A,Medium,1,A,Medium,-0.17914692304779942,1,C,Medium-Low,0
0,B,High,0.6746429487322881,1,A,Medium,0,B,Low,-0.6499573888162447,1,A,Medium-High,0
0,B,Medium-High,-0.6161230589020426,0,B,Low,0,C,Medium-Low,-1.961117600018477,0,A,Medium-Low,0
1,B,Medium-High,-1.9156111577286556,1,A,Medium,0,B,Low,-0.028565759023109965,0,A,Medium-Low,0
1,B,Medium-Low,0.5525476699324168,0,A,Low,1,A,High,0.44918053303612354,1,C,High,1
0,A,High,-0.22855937744515326,0,C,Medium-High,0,A,Medium,1.3670675750278036,1,C,Medium,1
0,B,High,-0.5187937234739188,1,B,Medium-High,1,C,Low,1.5738701499990284,1,C,Medium,1
0,A,Medium-Low,0.7759649471429857,1,B,Medium-Low,1,B,Medium-High,1.4965238203968498,1,A,Medium-Low,1
0,C,Medium,0.9859146379539975,0,C,Medium,1,C,Medium-Low,0.9181406667637136,0,A,Low,1
0,C,Medium-High,-0.2031831211159325,1,B,Medium-Low,0,A,Medium-High,-1.1914819884850842,1,C,Medium-Low,0
0,B,Medium-High,-0.4410390076996217,0,C,Medium-Low,1,A,High,-0.21031302189960588,1,B,Medium-Low,0
