Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj1_Feature8_numeric,Obj1_Feature9_binary,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Obj2_Feature8_numeric,Obj2_Feature9_binary,Collision
0,C,Medium-High,0.45410628541099973,1,C,High,-0.21215200268075546,1,1,B,High,1.1740049558102692,0,B,Medium-Low,-0.7358936773614324,1,1
1,C,High,-0.3548802928404924,1,A,High,0.5753839535528158,0,0,C,High,0.12172652291270243,1,B,High,-0.22057929257931946,1,1
0,C,Low,-3.049971674385742,0,C,Low,-0.22212863725381327,1,1,C,Medium-Low,0.7360988495097652,0,B,Medium-High,-1.3304257298077702,0,0
1,A,Medium-High,0.7632161445188432,0,C,Medium-Low,0.27517640674541605,0,0,A,Low,0.16180867763870235,0,B,Medium-High,0.1844849625601284,0,1
1,A,High,1.0722617856862295,1,B,Low,-0.8614281472042387,1,1,B,High,1.8623222828053994,0,B,Medium,-1.2408115126202814,1,1
0,B,Medium-High,0.5017995945448636,0,A,Medium,1.2763037677337359,1,0,B,Low,0.601104331953636,0,C,Low,-0.4957098207690847,0,1
0,A,High,-0.5063988809235885,1,A,Medium-Low,-1.915365385378886,0,1,B,Low,0.2623512051179409,0,A,Medium-High,0.32656174085483075,0,0
1,A,Low,-0.6489457659292587,0,B,High,-1.1745822206496361,1,0,B,Low,-0.5753150687614558,0,A,Medium-Low,0.6492973893824107,0,0
1,B,Medium-High,-0.1660239093379926,0,C,Medium-High,0.35488688619186126,1,0,C,Medium,-0.8654322152542855,1,C,High,0.685420106298351,1,1
0,A,Medium-High,-2.8057211982825585,1,A,Medium-High,-0.02396893609718455,0,0,A,Medium-Low,-0.0585909692630612,1,C,Medium-Low,-0.4300872371608728,1,0
1,A,Medium-High,0.7318579139924523,0,C,Low,0.024341724598046812,1,1,B,High,1.9789173979079322,1,A,Medium-High,1.4764947486553321,0,1
1,A,Medium,-0.6795357747639046,0,C,High,0.399288855752873,0,1,C,Low,0.8855094389908011,0,A,Medium-High,-0.5292677449840877,0,1
0,C,Low,1.4196912732925142,1,C,High,-2.022881912927504,0,1,B,Low,1.3310395906112218,0,A,Low,-0.7247461895513385,1,1
1,A,Medium,0.8860875991925294,0,B,Medium-High,0.4245314296263971,1,1,B,High,0.32699983995439363,1,C,Low,1.053255680357226,0,1
1,A,Medium-High,0.4355307828680492,1,C,Low,-0.4103039486790746,0,1,B,Medium,-0.460803380897082,0,C,Medium,1.0158177096555117,1,1
1,B,Medium-High,-0.9897815793260277,0,B,Low,-0.06029256541290322,1,0,B,High,1.0305765728010412,1,B,High,0.7273896851693197,1,1
0,C,Medium,0.44148644885603483,0,B,Medium-High,1.0672121184817605,1,1,B,High,-1.3839810694856396,1,A,Medium,-0.04571869318075787,1,1
1,A,Medium-High,-2.0734211086734082,0,C,Medium-High,-0.015390855120753166,1,0,A,Medium-Low,0.2797426400460142,1,A,Medium-High,0.6162603046842129,1,0
0,B,Medium-Low,1.7268596369008073,1,B,Low,-0.24388569817382483,0,1,B,Low,2.97765725896536,0,C,Medium,-0.11610510925733199,0,1
1,B,High,-0.17409467381545432,1,A,High,-0.6695158333962219,1,0,C,Medium-High,-0.3635939888934074,1,A,Medium-Low,0.08104029324130471,1,0
0,A,Low,-0.21200533602166918,0,C,High,-0.6359800837556338,0,0,B,Medium,0.8476759329752371,0,C,Medium-High,-1.1596178015759158,1,0
1,B,Medium-Low,0.21886662887387595,1,C,Medium-High,-0.5143241091320488,1,0,A,Medium,1.9641593915405533,0,B,Medium,-1.5332316846492315,1,1
1,C,High,-0.1906621383361251,0,B,Medium-Low,-0.173018455505792,0,1,A,Medium-High,-2.6058492579935364,1,A,Medium-High,-0.7230938928073455,1,0
0,C,Low,0.8360687901095835,1,A,Medium-High,-0.782122462321035,0,1,C,Low,-0.11052218901668044,0,C,Low,-1.050929416152249,1,0
0,B,Medium-Low,-2.851497766262643,0,A,Medium-Low,2.719048914324109,0,1,A,Low,1.2860038088794965,0,C,Medium-Low,1.117398875106731,0,1
1,C,Medium,0.04698010416432954,1,B,Medium-High,0.12665747096332552,1,1,C,Medium-Low,-0.49372191906906726,0,B,High,1.0766785218806074,1,1
1,B,Medium-High,0.9852683746640137,0,C,Low,-1.966236514657497,1,0,B,High,0.10418508758362016,1,C,Medium,0.15281345293578893,0,0
1,C,Low,-0.29379549062453014,0,A,Medium-High,2.0757353572160815,0,1,A,Medium,-0.6209119633369317,0,B,Medium,0.3852511543899763,1,1
0,C,Low,0.2951479418136915,1,A,Medium-High,0.10104870047486761,1,0,C,Medium-High,1.1034930584097162,1,B,Medium,1.3837121816086702,1,1
1,C,Medium-High,0.4442207000784721,0,A,Medium-High,-2.4897571191771575,1,0,B,Medium-High,-1.1408423223929338,1,A,Medium-Low,-0.24410704994304275,1,0
1,C,Medium-Low,0.13253987784005172,1,A,Medium-Low,-1.4027176127030065,0,0,B,Medium,-0.5780137874281425,0,B,Medium,-0.43793361942928405,1,0
