Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Collision
0,C,Medium,0.015098250850265045,1,A,0,C,Medium-Low,-0.6800870322394789,1,A,0
0,B,Low,-0.18519907108439237,1,A,0,B,High,-1.1969197607601465,1,B,0
0,A,Medium,0.8299684092151735,1,C,1,C,Medium,0.1353135680122359,1,B,1
0,C,Medium-Low,-0.5886058660969017,0,A,1,B,High,1.1800491171064422,0,B,1
1,C,Medium,0.802465035720275,0,A,1,C,Low,0.8172853723255649,0,B,1
0,A,Low,0.2560388471231227,1,A,0,B,Medium-Low,0.09483507214691453,0,A,1
0,A,Medium-High,1.4697242977925125,1,C,0,B,High,1.3657959392443497,1,B,1
1,B,Medium,1.0652635960946337,1,A,1,A,Medium-Low,-0.049251363562450474,0,C,1
1,B,Medium-Low,-1.7369987037801518,1,C,1,B,High,1.885486003020671,0,A,1
1,C,Medium,0.5942876865299691,0,A,1,B,Medium-Low,-0.7376338944634809,0,C,0
1,B,Low,1.1383399193190766,0,B,0,A,High,0.5979563597148921,1,C,1
0,A,Medium-Low,0.801469502128352,1,B,0,C,High,-0.09022153599248439,0,B,1
0,A,Medium-Low,-1.8234124653515005,1,C,1,B,Low,1.1288477473155214,1,B,0
1,B,High,1.0696868484433533,0,A,0,A,Medium,-1.558924756644545,0,A,0
1,B,Medium-High,0.650848379810595,1,C,0,C,Low,-2.4918282102204006,1,C,0
1,A,High,-0.45762934542532147,0,C,1,A,Medium-High,0.7795112705071895,0,C,1
0,C,Medium-High,-0.7967648156177439,1,A,0,A,Medium-High,-0.02019950732727056,0,C,0
1,A,Medium,-0.6915498945277238,1,B,0,C,Medium-High,0.47297054919049264,1,A,0
1,A,Medium-High,0.5667683229135843,0,C,0,C,High,1.0194367938358353,0,A,1
1,B,Medium,-0.1921494754855112,0,B,0,B,High,0.8828946751424314,0,A,1
1,A,Medium-High,-0.45971408987705664,0,C,1,B,Medium-Low,0.4067450816662538,0,A,0
1,B,Medium-Low,-1.0605229463486614,0,A,0,A,Medium-High,0.3942523093778182,0,C,0
0,A,High,1.3684086242216473,1,C,1,C,Medium,-0.880564447809744,0,B,1
1,A,Low,0.14953009977769915,1,A,0,A,High,1.071994207223743,0,C,1
0,C,High,0.18998716703239835,0,A,0,C,Medium-High,0.5455063898554162,1,A,1
1,B,Medium-High,0.3945543196942109,0,B,1,C,Low,0.671644704096856,1,A,1
1,B,Medium,1.214919492100961,1,B,0,B,Low,0.9049635918916624,1,C,1
0,A,Medium-Low,-1.1051502099827302,1,B,1,B,Medium,-0.07910399362075103,0,B,0
1,A,Medium,1.035433335862553,1,B,0,C,Medium-Low,-0.568353837791063,0,C,1
1,A,High,0.8177882864904561,1,C,0,B,Medium,-0.8141929457871038,0,C,0
1,C,Medium-High,0.6093269067168517,1,B,0,A,Low,2.5324499964361373,0,A,1
0,A,Medium,0.3732160675359175,0,A,0,A,High,-1.0571160697537199,1,A,0
1,B,Medium-Low,-0.3167051825934688,0,A,0,A,Medium-High,-0.1613219312904691,0,C,0
1,C,Medium,0.5137839555104662,1,C,1,B,Medium,1.2105513608206675,1,B,1
1,A,High,-0.24319403689440944,1,A,1,A,High,-0.7001938933925262,0,B,0
1,C,Medium,2.0380303506055415,0,B,0,B,Medium,-0.22289707214189253,1,C,1
1,A,High,-1.5204623862525342,1,C,0,C,Low,0.33232134227528454,0,A,0
0,A,High,0.5483640095372098,1,C,0,A,Medium-Low,0.5284625031067928,1,A,1
1,C,High,2.3717610862473064,1,C,0,B,Medium,-0.949979794418749,1,A,1
0,C,Medium-High,-0.22311024517835262,1,A,0,B,Medium-High,-0.601712034958632,0,A,0
0,B,Medium-Low,-1.452320677258801,1,B,1,A,Medium,0.07453720071760853,1,B,0
0,C,Medium-Low,-0.005858900420897304,1,C,0,C,Medium-Low,-0.659392024513207,1,C,0
0,A,Low,-0.38653792263422165,0,C,0,B,Medium-High,0.3982299244631746,0,A,1
1,A,High,-0.04352585835385068,0,B,0,B,Medium-Low,0.8234569006222417,1,C,1
1,B,Medium-Low,1.9818850946464766,0,B,0,B,High,-0.542702390971448,0,B,1
1,B,Medium-High,-0.4719714784490961,0,B,1,A,Medium-Low,-0.1075807614587891,1,B,0
0,A,Medium,-0.617622146768409,1,B,1,A,Low,0.4455844291731276,1,C,0
1,A,Medium-High,-0.6637620097178822,0,B,1,C,Low,-1.6183565068678414,0,C,0
1,C,High,1.3862857950417142,0,B,1,B,Low,-0.5789953740486232,1,C,1
