Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Collision
1,C,Medium,-0.7623546933359256,0,B,Medium-Low,0.07910541437930667,0
0,C,Medium-High,0.057621468178349476,1,A,Medium,-0.4651789377447171,0
0,B,Medium-Low,-0.7021973261176053,0,C,Medium,0.06889284361510928,0
1,C,Medium-Low,-0.6656845051790683,0,B,Medium-Low,1.6353478531379688,1
0,A,Medium-Low,1.0247086003836587,0,B,Low,0.5500483295226569,1
0,A,Medium-Low,-2.4740489773149683,0,A,Medium-High,-2.2312902182829824,0
0,C,High,-0.18128822757307092,1,B,Medium-Low,-0.535391784254664,0
0,A,High,-1.3230568475921796,0,B,High,-0.8655640817149016,0
1,B,Low,0.21409648130158668,0,B,High,0.08837789144647552,1
1,A,Medium,-0.6452131238145372,1,B,Medium-High,1.5443798797354977,1
0,A,High,1.3119682304634719,0,A,Low,0.5348538233289786,1
0,C,Medium-High,0.42109339802099016,1,C,Medium-Low,-0.16590620077439436,1
0,B,High,-1.0564740201519935,1,B,High,0.5831798305460665,0
0,B,Medium-Low,0.3379708074765651,1,B,Low,0.20808297054478636,1
1,C,Medium-Low,0.4958471454607268,0,B,Medium-High,-0.23792924408813088,1
1,B,Low,-0.7560952608887381,0,A,Medium-Low,0.36027574516753536,0
1,A,Medium,0.4867867400782005,1,A,Low,-1.6102216244974645,0
1,B,Medium-High,1.0413560676792646,0,C,Medium,-0.006832502186585574,1
1,C,Medium-High,-1.4793753639862015,1,B,High,-1.7790423155647113,0
1,A,Medium-Low,1.0560127432314126,1,A,Low,-0.9519018563809372,1
1,A,High,1.273737889853891,0,C,Low,-1.7146515378361658,0
1,C,Medium-High,0.9899277545571191,1,B,Medium-High,0.8995244154262343,1
1,A,Medium-Low,0.5123371720059153,0,A,Low,0.8691561626741539,1
1,A,Medium-Low,-0.08045691274893844,1,C,Low,-0.2531525362369642,0
0,C,Medium-Low,-1.9642603378362964,0,A,Medium,-0.8404262893888185,0
0,A,Medium,-1.2314722732552694,0,C,Low,1.5864519364126506,1
1,B,High,0.2579057232308883,0,C,Medium,0.8470881758315995,1
1,C,Low,1.212851831340492,1,B,Low,-0.452637523160736,1
1,C,Low,-2.099714208578504,0,B,High,-0.23126222260630244,0
0,A,High,0.12631707291722727,0,A,Medium,-0.5733166867905877,0
0,A,High,1.0738558379894758,1,A,Medium-Low,1.00577083479491,1
1,A,High,-1.5884184390836504,0,A,Medium,0.8764727794996863,0
1,A,Medium-High,0.38946402534279784,0,C,Medium-High,-1.4567329403074052,0
0,A,Medium-High,0.554365105352485,1,C,Medium,1.7244422192024145,1
1,C,Medium-High,-0.7096655885047736,0,A,Medium,1.4873709709470526,1
0,C,Medium,0.6468314996812546,0,A,Medium-Low,-2.8342862335640584,0
0,B,Medium,-1.7809300165059943,0,C,Medium-High,-0.3258741184956773,0
0,B,Medium-Low,0.8202036591386153,0,C,Medium-High,0.18437274843237975,1
1,B,Medium,0.9513660845493894,1,A,Medium-High,0.7227357392703231,1
0,A,High,-0.5143117009649745,1,B,Medium-High,-0.49184861257720625,0
0,B,High,-0.39314735284918245,0,A,Medium,-0.33196757809773764,0
0,B,High,-0.27185491176657217,1,A,High,0.4378783542341945,1
0,B,Medium-High,-1.2783513291041337,1,C,Medium-Low,-0.6190247445291917,0
0,B,Medium-Low,1.408480842349661,1,A,Medium-High,0.6647258613960078,1
1,C,High,-2.1723401783523535,1,C,Medium-High,-0.6361889694888341,0
0,C,Medium,-0.8084292298080583,0,A,Medium-High,-1.6673516706170524,0
1,B,High,0.37051674323752376,0,A,Medium-High,-0.06570861801829708,1
1,B,Medium-Low,0.22552984358868614,0,C,Medium-Low,-0.3312870251996097,0
1,A,Medium-Low,-1.0610603136370578,1,B,Medium-High,-0.6310295755403205,0
0,A,Medium-High,0.9209984944104875,0,C,Medium,0.9530001219619074,1
1,C,High,0.08863536527480947,1,B,Low,0.8179969610912697,1
0,C,Medium,-1.516120023672864,0,C,Low,1.267950360042832,0
1,A,Low,0.4776333471214674,1,C,Low,-0.38655205752771743,1
1,B,Low,-0.2103933926991751,1,B,Medium-Low,0.35889381254037583,1
0,C,Medium-Low,-0.2455711778396745,1,A,Low,1.1648992005551866,1
1,A,Medium-High,0.24002954067874774,0,B,High,-1.1028218934475913,0
0,C,Medium-Low,0.37553577450562664,0,A,Medium-High,-0.9783737170806454,0
0,A,Low,-0.22113779313871895,0,C,Medium-Low,-1.5628429847314087,0
1,B,Low,0.9578436054434573,0,B,High,-1.140274217039983,0
1,B,Low,0.9482935623213888,1,B,Medium-High,-1.0011517406307162,0
1,B,Medium-High,-0.10272341666644395,1,B,Medium-Low,1.7379122334221087,1
1,C,Medium-Low,-1.4853129120255353,1,C,Low,-2.312401606995304,0
1,C,Medium-Low,-1.4354650181681576,0,A,High,-1.747261108599885,0
1,A,High,0.6741131343884302,1,A,Low,-1.2176899918139639,0
1,B,Medium,-0.5881767208582518,0,C,Medium-Low,-0.31856221043380495,0
1,B,High,-1.4554223721787742,0,A,High,-0.1948554071017175,0
0,A,Medium-Low,0.03329615242229865,1,A,Low,2.07620299033404,1
0,B,Medium,0.08671026164552695,0,B,Medium-Low,1.9792026857761695,1
1,C,High,-0.6029968747411218,0,B,Medium,0.5079190900861765,0
0,B,Medium,1.0841648483777442,1,A,Medium-High,0.21474153967562049,1
0,A,Low,1.221740923767825,1,C,High,0.6189258240998246,1
0,B,Medium-Low,0.5100021790638659,0,C,Medium-High,0.35209677761358366,1
1,A,Medium,0.23509795780447115,1,B,Medium,0.32756475708326754,1
0,C,High,0.741892609651901,1,B,Medium-High,0.5236555791019507,1
1,B,Medium-Low,0.50773273672147,1,C,Low,0.5449598294951197,1
1,A,Medium,0.2761543288793218,0,C,High,0.4232405566937116,1
0,A,Medium-High,2.4142543218125705,1,C,Medium-Low,-1.7784661262735788,1
1,B,Medium,0.8743067313462493,1,A,Low,-2.1661878677454784,0
1,B,Medium-Low,-0.4059942634283177,1,C,Medium-High,0.033192815895691584,0
0,A,Medium-Low,0.5897353424450507,0,C,Medium-High,0.7560537748292196,1
0,B,Low,0.5092288703820227,1,C,Medium,0.2151746253662691,1
1,A,High,0.28891647748137006,1,A,Low,0.43437097346168446,1
1,C,High,-0.6981526658207153,1,C,High,-0.17085603288942836,0
0,B,Medium-Low,1.3039869460692288,1,B,High,-1.0276765197446631,1
1,B,Medium,-1.4949834700511477,0,C,Low,-0.591016073396795,0
0,B,High,0.12647102095769253,1,C,Medium-High,1.626409620939395,1
1,A,Medium,0.6392897824267919,1,B,Medium,1.0244963860921932,1
1,B,Medium-Low,-0.29872411630129336,0,B,Medium-High,-0.5832264181257893,0
1,B,Medium-High,-1.1956888221588104,0,C,Medium-High,-1.1768959643059396,0
0,C,High,-0.8237767831166726,0,C,High,1.0931328781553749,1
1,C,Medium-High,-0.008272071278159635,0,B,Medium,-0.42777911274767616,0
0,C,Medium,-0.7454095120498455,1,A,Low,-0.3593547682502511,0
1,C,Medium-Low,1.3149238652316972,1,C,Medium-Low,-0.19455131418923802,1
0,C,Medium,-0.23159370977827148,0,B,Medium-High,0.025091306352064975,0
1,A,Medium-High,1.4975612619112355,1,A,Medium-High,1.7573963134664754,1
1,B,High,-0.1320401810390846,0,A,High,-0.13655061603338164,0
0,C,High,-0.6542159351321686,0,A,Medium,-0.32139817793339903,0
1,C,Medium-Low,1.8036209773787382,0,A,Low,-0.7423096430859025,1
1,C,Low,-0.9788147401928928,0,B,High,0.08171656202454725,0
1,A,Medium-High,0.7254605452430257,0,B,Medium,0.6424713460422772,1
