Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj1_Feature8_numeric,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Obj2_Feature8_numeric,Collision
0,C,High,0.3892225519128999,1,C,Low,-0.4750679754181769,1,C,High,0.2680404429674148,1,B,Medium-High,0.9756339803317394,1
0,A,High,1.3371092323297373,1,A,Low,-0.1292837323895944,0,B,Medium,-0.974635952208494,1,B,Medium-Low,0.07261075237361203,1
1,B,High,0.6650036144325073,1,B,Medium-Low,0.8462674129126089,0,A,High,0.9421546226050869,1,B,High,1.1584780007337887,1
1,C,Medium-High,-0.4048548823259158,0,A,Medium,-0.4020116475048751,0,A,Low,0.9080451801420657,1,C,Medium,-1.9148690684134042,0
1,B,High,-0.9793979338786662,0,A,Low,-0.4136725011447694,0,C,High,1.0100850459040205,0,B,Low,-0.10284412741382101,0
0,C,Medium-High,0.06874774423931945,1,B,Medium-Low,2.6926661051897014,1,B,Medium-High,1.3967446365633862,0,C,Medium-High,0.9537083680597198,1
1,A,Medium,0.24855546666645204,1,C,Low,0.9906514368283538,1,C,Medium-Low,0.3929148784933219,0,A,Medium-Low,1.4389239820015323,1
1,B,Medium-Low,-0.14615653115974558,0,A,High,1.7877319530049234,1,A,Low,-2.373437805271792,0,B,High,-0.12038576519943024,0
1,C,Medium-High,0.11935297283306602,0,B,Low,-0.1260867182131285,1,A,Medium,-1.8204645721642445,0,A,Medium-High,0.17491845597099298,0
0,C,Low,-1.0497892707029548,1,A,High,0.8642802485449499,1,B,Medium-Low,-1.5751416267283709,1,A,Medium-Low,0.20309353295628044,0
1,C,High,-0.9310125891943624,1,B,Medium-Low,1.3092933387756505,0,B,Medium-High,0.08977834716982809,0,B,Medium,-0.3618545844017379,1
1,B,Medium-Low,-0.24360808987088495,1,A,Medium-High,-0.3992462843231799,0,A,Medium-High,-0.9769830945253287,0,A,Medium,-0.0315018732794419,0
0,C,Medium-Low,1.5213526392547603,0,B,High,-0.8154903349086535,0,C,Medium,0.718315372638428,0,B,Low,0.8853090301289305,1
