Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj1_Feature8_numeric,Obj1_Feature9_binary,Obj1_Feature10_nominal,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Obj2_Feature8_numeric,Obj2_Feature9_binary,Obj2_Feature10_nominal,Collision
1,A,Medium-High,0.44685088118500177,0,C,Medium-Low,-0.7771981277104627,1,B,1,A,Low,1.2633128028091114,1,B,Medium-High,-0.7331077359600654,1,C,1
1,A,Medium-Low,-0.1979165056895135,0,A,High,-0.836323388940551,0,C,0,C,Low,0.8684196630096115,1,C,High,-0.6682358017103395,0,B,0
1,C,Low,0.31570903097041186,1,A,Low,0.2874902105744477,1,C,1,B,Medium-Low,0.5953431525396735,1,B,Low,0.9383025498221284,1,C,1
1,B,Medium,0.11036554603363839,0,A,Medium-High,0.5413901942877998,0,C,0,B,Low,3.0716963326741085,0,B,High,-1.4362158660554203,1,B,1
1,B,Medium,0.18116070391494227,1,C,Medium-Low,1.3263525192731016,0,A,1,C,Medium-Low,-0.15083898233911888,0,B,Low,0.8687717966747275,1,B,1
1,C,Medium-High,-0.6220862551191486,1,A,Medium-Low,0.7382822913995305,1,B,1,B,Low,-1.848925963639441,0,B,Medium,-0.6031386792004887,1,B,0
1,B,Low,-0.7050744181477712,0,B,Low,-1.1832274862089494,1,C,1,B,Medium,-1.3081129579462423,0,A,Medium-Low,0.20952221775471525,0,B,0
0,B,Medium-Low,-2.376876325882281,1,A,Medium-High,1.9494613147943902,1,C,1,C,High,1.7700725551684684,0,B,Low,1.0536048911099227,1,B,1
0,B,High,-1.1965195033540927,0,B,Medium,0.48654894102937546,1,B,1,B,Medium-Low,-0.6089597077409504,0,A,Medium,-0.8686530358738798,1,C,0
1,C,Medium,0.6833145212936229,1,C,High,0.6156348076966507,1,A,1,B,Medium-High,-1.58299186223354,1,C,Medium-High,0.32147120540534124,1,B,0
1,B,Medium,0.17466042422337633,1,A,Low,-0.3925873504608857,0,A,1,B,High,-0.8223741980650441,0,C,High,-1.9520791668583297,0,A,0
0,C,Low,0.7724012744975062,1,B,Low,-0.3889114858335432,0,A,0,C,Medium-Low,-1.6142426815979758,0,A,High,0.31939148627868896,1,A,0
