Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj1_Feature8_numeric,Obj1_Feature9_binary,Obj1_Feature10_nominal,Obj1_Feature11_ordinal,Obj1_Feature12_numeric,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Obj2_Feature8_numeric,Obj2_Feature9_binary,Obj2_Feature10_nominal,Obj2_Feature11_ordinal,Obj2_Feature12_numeric,Collision
0,C,Medium-High,-0.0799751190330665,0,A,Low,-1.5866371237962118,0,C,Low,-0.6766987630182891,0,A,Medium-Low,0.8321199871628631,0,B,Low,2.0418728778855852,1,B,Low,0.9688487021855965,1
1,B,Medium-High,-0.776176907182036,0,B,Medium-High,-1.3809249557392234,0,C,High,-1.584374257734568,1,C,Medium-Low,1.5519529603081375,1,C,Low,-0.7126392224643346,0,B,Medium-Low,-0.7411295128838583,0
1,B,High,0.295067900989111,1,C,High,-1.0050214708659497,0,C,High,0.6937975006267797,1,C,Medium,-1.2060332994823049,0,B,Medium,0.2704951364409277,1,A,Medium-High,-0.1487290639748315,0
1,B,Low,0.13696661675344787,1,A,Medium-Low,0.05804545114927042,0,C,High,0.31286628981576964,0,B,Medium-Low,1.1267572386549918,0,C,Low,1.0355067796955302,1,B,High,0.13455885093228723,1
1,A,Medium-Low,-0.35799603056991475,0,B,Medium,0.3447358058372635,0,B,Medium-Low,0.20200971518390828,0,B,High,-1.6917185677446378,0,C,High,-1.3427664091198088,0,B,Medium,-0.9508611021418911,0
0,B,Medium,-0.7832038679880462,0,B,Medium-High,-0.41844677006020503,1,A,Medium-Low,1.6052188944479246,0,C,Medium,-0.06966115461983147,1,B,Medium-High,0.7328235870179817,0,C,Medium,1.2939206234504264,1
1,B,Medium-Low,-0.3314830598490286,0,B,High,-0.7237041115660544,0,B,Medium-High,0.11566838229647006,1,C,Medium-High,-0.0904608435007334,1,A,Medium,2.272220648245586,1,A,Medium-Low,1.6594079813093732,1
1,C,Low,-1.5893152285572625,0,A,Medium-Low,0.5209131092827317,1,B,Medium,0.16283620116165018,0,A,Medium-Low,0.6668197015480645,1,B,Medium-Low,0.30208667869454814,1,C,High,0.6396641334993823,1
0,B,High,-0.5184596736554535,0,B,Medium-Low,-0.27100372182135385,0,C,High,-1.2090316403477215,1,B,High,-1.1054999200187254,0,A,Medium-High,0.5767714285292898,1,B,Medium-High,0.6101684289021871,0
1,C,Medium-High,-1.613493086166327,0,B,Medium-Low,-0.3044055461735276,1,A,Medium,0.8190726892276189,0,C,High,0.45391425199724766,0,A,High,-0.9276902985166,0,C,Low,-0.7064654441128168,0
1,A,Medium-Low,-0.3102329750028949,1,C,Low,0.09106267154831416,1,A,High,0.11275088933914346,1,C,High,-0.6801017640392442,0,C,Medium,-0.494323127899255,0,C,Medium-Low,-0.31121581620860284,0
1,C,Medium-Low,-1.6285677300839616,0,A,Medium,1.4646415291426524,1,B,Medium-Low,-0.5029040648750273,0,A,Medium-High,0.41247697969921526,1,C,High,2.9326926531154034,0,B,High,0.1274348602988868,1
1,A,Medium,0.484535944776028,0,A,Medium-High,-0.3682028743328791,1,A,High,0.20356334782914776,0,B,Low,0.24319140303632014,0,B,High,0.4089828904709889,0,C,Low,-0.7728325762984606,1
1,C,High,0.3281815081767273,1,B,Low,-0.2721839381751771,0,B,Medium-High,-1.7253514759630966,0,A,Medium-High,1.4920927786349991,1,C,Medium,-0.6946173408316628,1,A,Low,-0.6372835507147229,0
1,A,Low,0.2525828366331212,0,A,High,0.9337215179250229,1,B,Medium,1.5051623168508914,1,B,Medium-Low,-0.1960576066493439,0,B,Medium-High,0.07289584811314691,1,A,High,-0.6759893110390811,1
1,A,Medium-Low,-0.575833422998539,0,C,Medium-Low,0.6957935719214597,1,A,Low,0.40593279135693994,1,C,Medium-Low,-1.6619765117278418,1,C,Low,-1.1673642702610167,0,A,High,0.7344022540655875,0
0,B,Medium-Low,-0.47754096098276694,1,A,Medium,-1.688554309067752,0,C,Low,-0.2898242902004101,1,A,High,-1.7035212324056601,0,B,High,0.8299425428020963,0,A,Medium,-0.8125306740842484,0
0,B,Medium-Low,-0.2011082488128205,1,A,Low,-1.14552145408868,0,C,Medium-Low,0.15788193846640736,1,B,Low,1.1184246386083312,0,B,Medium-High,0.09180341728301346,0,B,High,-0.1884281220553706,0
0,A,High,0.049212282789124276,0,B,Medium-High,0.0014359137248586592,1,A,Medium-High,0.36294586476872737,1,A,Medium-Low,-0.9673159989850554,1,A,Medium-Low,1.389720189719607,0,B,Low,-0.05301438932295324,1
1,C,Low,-0.2923006603980503,0,C,Medium,-1.577357505746363,0,C,Low,-2.274319326627774,1,A,Low,1.4307076333316469,0,B,Medium-Low,-0.300713750126542,1,C,Medium-High,-0.5978409954088179,0
