Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj1_Feature8_numeric,Obj1_Feature9_binary,Obj1_Feature10_nominal,Obj1_Feature11_ordinal,Obj1_Feature12_numeric,Obj1_Feature13_binary,Obj1_Feature14_nominal,Obj1_Feature15_ordinal,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Obj2_Feature8_numeric,Obj2_Feature9_binary,Obj2_Feature10_nominal,Obj2_Feature11_ordinal,Obj2_Feature12_numeric,Obj2_Feature13_binary,Obj2_Feature14_nominal,Obj2_Feature15_ordinal,Collision
1,B,Medium-High,-0.5751848405124541,0,B,Low,-0.8205487013888225,1,C,Medium-Low,-0.14084177355587477,1,A,High,0,A,Low,-1.0295163673403624,1,C,High,1.6811571145852018,0,B,Medium-Low,-1.0028142885823292,1,B,High,0
0,C,Medium,1.2432360648752854,1,B,Medium-Low,-0.5018337415652185,0,C,Medium,-0.7191987606744012,0,C,High,1,B,Medium,0.49184096167838326,1,C,Medium-High,-0.9344432489480308,1,B,Low,0.3610321816156581,1,B,Medium-High,0
0,C,Medium,-2.3730251052199756,1,C,High,-0.6272873430464821,0,B,Medium-High,0.747858789639856,1,A,Medium,0,A,High,-0.12071638979138154,0,C,Medium-High,0.08658976749569491,1,B,Medium-Low,1.6291490336364445,0,B,High,0
1,C,Medium,-0.21676327132043774,0,A,Low,0.6922814741388091,0,A,High,-0.6830397887696845,1,B,Medium-High,1,C,Medium-Low,-0.8912347473821858,0,C,Low,0.15784444619361648,1,B,Medium-High,0.6043401035184078,0,B,Low,0
1,A,Medium-Low,-0.8900982567637823,1,C,Low,-1.0321575808374912,0,B,Medium-Low,-0.2362945127064276,1,A,Low,1,B,Low,-0.8790269427898701,1,B,Medium,-0.7257722586435437,0,A,Medium,-1.1197924552222556,1,B,Medium-Low,0
1,C,High,0.45095894045515394,0,B,Medium,-0.26739384325455756,1,B,Medium-High,-1.3215049663659961,1,A,Medium,0,A,High,-0.4348286850914083,1,A,Low,0.5848995464203434,1,B,Medium-Low,1.7283526244104446,1,A,High,1
1,B,High,0.43767806561377914,0,A,High,0.607974520987588,1,B,High,0.9745860667305738,0,B,Medium-Low,0,C,Low,1.2193656334620908,1,C,Low,-1.176101283576778,0,C,Medium-High,-2.3122279689978456,1,B,Medium-Low,0
0,C,Medium-Low,0.34429147390527315,1,B,Low,-1.8507308283730988,0,C,Medium-High,0.27795769811968757,1,B,Medium-High,0,A,Medium-Low,-2.3536595648437166,0,C,Low,-0.34128337786376134,1,A,High,-0.46012307614876136,1,C,Medium-High,0
0,C,Medium,-0.5253157272174416,0,A,Medium,-0.5050598107368446,1,A,Medium-Low,0.3054695640899941,1,C,High,1,C,Medium,-0.03407998307673643,0,B,Medium-Low,1.47704837857577,0,C,Medium-Low,0.38667021025267095,1,A,Low,1
0,B,Low,0.4343848535860018,0,B,High,1.147790043205122,0,A,Medium,-0.2169499897450263,1,C,Medium-Low,0,C,Medium-High,0.5972166830249618,0,C,High,0.039754288074098094,0,B,High,-0.16648669015003062,0,B,Medium,1
