Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj1_Feature8_numeric,Obj1_Feature9_binary,Obj1_Feature10_nominal,Obj1_Feature11_ordinal,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Obj2_Feature8_numeric,Obj2_Feature9_binary,Obj2_Feature10_nominal,Obj2_Feature11_ordinal,Collision
1,C,Medium,-1.8913072618085158,1,B,Medium-High,1.1721478301579717,1,A,Medium-Low,0,C,High,0.37686077206836904,1,A,Medium,0.5465410886163427,0,A,High,1
1,C,Medium-Low,0.988859202650619,1,B,High,0.13053071330971794,1,C,Medium-High,1,C,Medium-Low,-1.2549574859391595,1,B,High,-0.8360917455258714,1,C,Medium-High,0
0,A,High,0.11096249813035701,0,A,Low,-1.4490115695786676,0,C,Medium-Low,0,A,Medium-High,0.31742497649867973,0,C,Medium-Low,-1.1769945172655307,1,B,Medium,0
0,A,Low,0.018184634185685288,0,B,Medium,-1.126737200517736,0,C,High,0,C,Medium,-0.1503168470430017,0,C,Medium-High,-0.49098393224785136,0,B,Medium-Low,0
1,C,Medium-Low,0.9249217163655757,0,B,Medium,-2.672740312024971,1,B,Medium-High,0,C,Medium-High,0.711822927703564,1,A,Low,-0.12830611296292896,1,B,Medium,0
1,C,Medium-High,0.9293460038350052,0,C,Medium,1.2197465261736118,1,A,Medium,0,B,Low,0.25213732038501846,1,C,High,0.7319730387261488,0,A,Medium-High,1
0,A,Medium-Low,-0.5469156836359704,1,B,Medium,-1.0805424224516726,1,A,Low,0,C,Low,0.09264423840439891,1,A,Medium-High,-1.246729798732905,1,B,Medium-Low,0
1,C,Medium-High,0.6921122817395932,0,C,Low,1.9952641168003666,1,A,Medium-High,1,A,Medium-Low,-0.6043926810190808,0,B,High,0.5692323668557446,1,C,Medium-High,1
0,A,High,-0.5290902211639956,0,A,Medium,-0.3942049643623158,0,C,Medium,0,C,High,0.7035589009055921,0,B,Low,0.1694159266509777,1,B,Medium,0
1,C,Medium-Low,0.6134976967013492,0,A,Medium,-0.2807518970575983,0,B,Medium,1,A,Medium-High,-0.6445486628787807,1,A,Medium-Low,1.6179293148366385,0,A,Medium-Low,1
1,A,Medium-High,-1.505395066871354,1,B,Medium-Low,1.2643880032528838,0,C,Medium-Low,1,C,Low,2.5469464593611164,1,B,High,0.9822416764751295,0,C,Low,1
0,C,Low,1.3184768714171489,1,C,High,0.852408363016711,0,C,Medium,0,B,Low,-1.7000646021294317,1,B,Medium-High,-1.684085750042393,1,A,Medium,0
1,B,Medium,1.8244829785888919,0,B,Medium-High,0.3190432088822818,0,B,Medium-High,1,B,Medium-Low,0.05410721428897386,1,B,High,0.3557391938908364,0,A,Medium-Low,1
0,C,Medium-Low,1.0340541874555251,0,A,Medium-High,-1.7114712314127598,0,C,Medium-High,1,A,Medium,1.2787332031793812,0,A,Medium-High,-1.1588431416466758,1,A,High,0
0,A,Medium,0.4624926757231528,0,A,Medium,0.04933213270282649,0,C,Low,1,B,Medium-Low,-0.103693415956397,0,C,Medium-High,0.8614163631547086,1,C,Low,1
1,B,Medium-Low,-0.6115841147876964,0,A,Low,1.6124170372751532,1,B,Low,1,A,High,0.30903795946429613,0,B,Low,-1.3203457598002055,1,C,Low,1
1,C,Medium,0.9024285640752298,1,B,Medium-High,1.2272931399712708,1,C,Low,0,A,Medium,-0.8690951880953427,1,A,High,0.060755959572850814,0,B,Medium-High,1
1,C,Medium-Low,-0.2978763444461135,0,A,High,-1.2234420826270067,0,A,Medium-Low,0,C,Low,1.9476414732112348,1,C,Low,-0.8617175634721309,0,C,Medium-Low,0
1,B,High,-0.23703225990593946,1,C,Medium-High,1.634448468270964,0,B,Medium-High,1,B,Low,-1.573269949087476,1,B,Medium,0.48221123244450426,1,C,High,1
0,A,Medium-High,2.0389080876724055,1,C,Medium,-2.3973355586861307,1,A,High,0,A,Medium,-1.785049518179604,0,C,High,1.6655905060986793,1,A,Medium,0
1,C,Medium-Low,-0.24229069967013964,1,C,High,-0.6014875943014348,0,C,Medium-High,1,B,Medium-High,-0.3017232450403844,0,B,Low,-0.1460024034328689,0,B,Medium-High,0
