Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj1_Feature8_numeric,Obj1_Feature9_binary,Obj1_Feature10_nominal,Obj1_Feature11_ordinal,Obj1_Feature12_numeric,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Obj2_Feature8_numeric,Obj2_Feature9_binary,Obj2_Feature10_nominal,Obj2_Feature11_ordinal,Obj2_Feature12_numeric,Collision
1,B,Medium-Low,0.04427850238848561,0,C,High,0.5591994877273176,1,C,Medium-High,-0.42737713215085743,0,B,Low,-0.893318101019343,0,B,High,-0.7033890112754083,0,C,Medium,0.06191471953209784,0
1,B,Low,0.8816898939248112,1,A,Medium-High,-1.2030206584289345,1,A,Medium-High,-1.0520972140115923,1,A,Low,0.5050790403846493,0,B,Medium-High,-0.9290752993373322,1,B,Medium-High,1.1967907651373864,0
1,A,High,-0.6316299525096104,1,A,Low,-0.549399489402598,0,A,Low,0.8804293269872473,1,A,High,-0.08503815055088457,0,C,High,-1.5415650209912872,1,C,Medium,-0.42237768800598263,0
1,B,Medium,-0.8458988140119255,1,C,Low,0.30973554439994955,1,A,Medium,-0.7487424569288161,0,B,High,-0.42380402889007884,1,B,High,-0.48003515605110436,1,B,Low,1.8985489697160358,0
1,A,Low,1.7261368484842512,1,B,High,0.06245416414807882,0,A,High,-0.5329580785527702,1,A,Medium,0.041118867834875145,0,A,Medium,0.8261933798360809,0,A,Medium-Low,-0.8792795028948829,1
0,B,High,-0.02146894486178174,1,B,Medium,-1.0602219546368563,1,A,Medium-High,-0.4599229969871013,1,B,Medium,-1.0084591376435266,1,B,High,-0.545936807774726,0,A,Low,1.604788535040595,0
0,B,Medium-High,-0.47261504633274226,1,C,Medium,-1.3046529379623175,1,B,Medium-Low,1.528601687229671,1,B,Medium,-0.6239696496931622,1,A,High,-0.5677693915789763,0,C,High,-0.08424167772663492,0
1,B,Medium-High,1.5418020823458478,1,B,High,0.0681422008784497,0,B,High,-0.792215921380124,1,B,Medium-Low,-0.1846415637133583,1,B,High,-0.46008682912903903,0,B,Medium-High,-1.326389159431912,0
1,C,Medium,0.6702872921735848,0,C,Medium,2.324557336075511,1,A,High,-0.28531862580190837,0,A,Medium-High,0.6743188109370446,1,B,Medium-High,0.24182709430401778,0,C,Medium,-1.536405668586711,1
0,C,Low,-1.5898681079987276,1,C,Medium-High,0.5819401891066335,0,A,Low,-2.420616601916411,1,C,Medium-Low,1.465445956460227,0,C,Low,0.5156168706202567,0,B,Medium-High,1.0566164481829077,0
0,A,Medium-Low,1.0601411825222287,0,A,Medium,-0.8049386242580315,1,A,Medium-Low,2.1464153271375555,0,A,Medium,-0.07446621613435107,1,A,Medium-Low,0.16663282779523222,0,A,Medium,-1.1874214136918726,1
1,C,Medium,0.10254698132681175,0,B,Medium-High,0.3063522223177222,0,A,Medium-Low,0.29870858957046537,1,C,Medium,-0.7135039765995839,1,A,Low,0.016410554825345442,0,C,Medium-High,-0.903563978580263,0
1,B,Medium-Low,0.36020239115067887,0,B,Medium,-0.4556624993275657,0,B,Low,0.07443185797695764,0,C,Medium-Low,0.6256893599067289,1,A,Low,0.7593762811457926,0,A,Medium,-1.0966473241387695,1
0,C,Medium-High,-0.20267403369737563,0,C,High,-0.5648758961508721,1,B,Low,1.147830968113564,1,C,Medium-Low,-1.3529801876518657,0,C,Medium,1.702723556923616,1,C,Medium-Low,-0.0931674195700399,1
1,C,Medium-High,-0.5434360089805447,0,C,High,-0.940513980956344,1,C,Medium-Low,-1.0130352214513805,1,A,Low,0.1435611016898462,1,C,Medium-High,-1.0394833149998521,0,C,High,0.10225359634764167,0
0,B,High,-0.20832325891488646,0,B,Medium-High,-0.016113722102752984,1,C,Medium-High,-0.831227047593464,0,B,Medium,-0.2804226894265112,0,B,Low,-0.4877589756530712,0,C,Medium-High,-0.26140382890551445,0
0,A,Low,-2.0250725816852926,1,C,Low,-0.24272695250112855,1,B,Low,-0.16888611708905066,1,A,Low,0.12279103549506225,1,B,Medium-Low,0.7240352464952685,1,C,Medium,-0.2418333872812107,0
0,B,Medium,0.15207673545238407,0,A,Medium,-2.8337399418625124,1,B,Low,0.5596700522551509,1,B,Medium-High,-2.8828164920962487,1,A,Medium,0.5809686592176544,0,B,Medium-High,-0.33554245156197293,0
0,B,Medium,-1.0625828444121774,0,B,Low,-0.9770164537816477,0,C,Low,-2.037835064822125,0,C,Medium,-0.19192837405912241,0,A,Medium-High,-0.697669125586908,1,C,Low,1.7806370750739693,0
0,B,Medium-High,-1.7734553128259725,0,A,Medium,1.9283014930906515,1,A,Medium,0.1800410949832279,0,B,Low,1.8424218643590364,1,B,Medium,0.6939397013729411,1,C,Medium-High,0.9970817930310909,1
0,B,Medium-Low,-0.2759237572254387,0,A,Medium,-1.0749466997936858,1,A,Medium,2.1453458270522536,1,A,Medium-Low,1.279517043926098,0,B,High,-0.9518721707494257,0,A,Medium,-0.23484692160562218,1
1,A,Low,0.4753688556995294,1,A,High,0.5264874815465388,0,B,High,-0.12301801330843193,0,A,Medium,-0.8409261123433389,0,C,Medium-Low,-0.5794099490890973,1,C,Medium-High,1.59982758053888,1
0,A,Medium-High,-0.31764821233625146,1,A,Medium-High,0.605206447174537,1,A,High,-0.43238676200238113,0,A,Medium,2.163969967477935,0,B,Medium-High,-0.7668198699903412,1,A,Low,0.9873826263637283,1
1,C,Medium-Low,0.47541215554088295,0,A,Medium-Low,0.6102009508247881,1,A,High,1.0434846487960447,1,B,Medium-Low,-0.14931028502328483,1,B,Low,0.6489958445509968,0,A,Medium,0.28901380852260544,1
